"activity_id","religious_group_id"
1015,"333"
1016,"2133"
1017,"6471"
1018,"6471"
1019,"937"
1020,"32"
1021,"32"
1022,"32"
1023,"32"
1024,"32"
1025,"32"
1026,"32"
1027,"560"
1028,"560"
1029,"9023"
1030,"4753"
1031,"9484"
1032,"5832"
1033,"2475"
1034,"5226"
1035,"5884"
1036,"5884"
1037,"5884"
1038,"12071"
1039,"5748"
1040,"1316"
1041,"9951"
1042,"9951"
1043,"8162"
1044,"6625"
1045,"2264"
1046,"7623"
1047,"9873"
1048,"11388"
1049,"11388"
1050,"11388"
1051,"11388"
1052,"3597"
1053,"1056"
1054,"3678"
1055,"7675"
1056,"1750"
1057,"3512"
1058,"3512"
1059,"5665"
1060,"3022"
1061,"3022"
1062,"3022"
1063,"2324"
1064,"2578"
1065,"83"
1066,"791"
1067,"791"
1068,"832"
1069,"832"
1070,"28"
1071,"28"
1072,"28"
1073,"1980"
1074,"11086"
1075,"577"
1076,"74"
1077,"6383"
1078,"6383"
1079,"376"
1080,"1589"
1081,"11702"
1082,"7330"
1083,"9378"
1084,"9480"
1085,"7706"
1086,"330"
1087,"7722"
1088,"278"
1089,"11134"
1090,"11134"
1091,"324"
1092,"324"
1093,"324"
1094,"12527"
1095,"2272"
1096,"2272"
1097,"2272"
1098,"1866"
1099,"7978"
1100,"11767"
1101,"597"
1102,"32"
1103,"5226"
1104,"3001"
1105,"351"
1106,"5653"
1107,"2341"
1108,"2341"
1109,"2341"
1110,"2775"
1111,"89"
1112,"89"
1113,"732"
1114,"732"
1115,"637"
1116,"2885"
1117,"2885"
1118,"2885"
1119,"1377"
1120,"10183"
1121,"522"
1122,"3567"
1123,"166"
1124,"9056"
1125,"9092"
1126,"23"
1127,"403"
1128,"403"
1129,"10250"
1130,"10250"
1131,"83"
1132,"71"
1133,"71"
1134,"7250"
1135,"2226"
1136,"1309"
1137,"289"
1138,"6536"
1139,"6536"
1140,"3206"
1141,"36"
1142,"11561"
1143,"11561"
1144,"11561"
1145,"718"
1146,"5357"
1147,"5341"
1148,"5341"
1149,"5341"
1150,"116"
1151,"10812"
1152,"10812"
1153,"12158"
1154,"12158"
1155,"12158"
1156,"7847"
1157,"7847"
1158,"6432"
1159,"6432"
1160,"20"
1161,"1411"
1162,"7930"
1163,"3818"
1164,"3454"
1165,"3454"
1166,"8579"
1167,"8579"
1168,"10134"
1169,"8393"
1170,"4269"
1171,"9682"
1172,"96"
1173,"5568"
1174,"5568"
1175,"5568"
1176,"5568"
1177,"12038"
1178,"3126"
1179,"3126"
1180,"8352"
1181,"11381"
1182,"8153"
1183,"4350"
1184,"2091"
1185,"4826"
1186,"894"
1187,"4063"
1188,"376"
1189,"3476"
1190,"12149"
1191,"1511"
1192,"1511"
1193,"1511"
1194,"1511"
1195,"1511"
1196,"1511"
1197,"6464"
1198,"1438"
1199,"2728"
1200,"2355"
1201,"2355"
1202,"3013"
1203,"1836"
1204,"1836"
1205,"1836"
1206,"7075"
1207,"7075"
1208,"8195"
1209,"1507"
1210,"6996"
1211,"6996"
1212,"260"
1213,"260"
1214,"791"
1215,"2324"
1216,"1780"
1217,"262"
1218,"262"
1219,"8707"
1220,"11885"
1221,"11885"
1222,"12452"
1223,"10827"
1224,"5521"
1225,"5678"
1226,"5678"
1227,"5678"
1228,"4936"
1229,"6863"
1230,"29"
1231,"10099"
1232,"1226"
1233,"8125"
1234,"8125"
1235,"8125"
1236,"2356"
1237,"6637"
1238,"6637"
1239,"6637"
1240,"8440"
1241,"3293"
1242,"5696"
1243,"5696"
1244,"5696"
1245,"5696"
1246,"747"
1247,"747"
1248,"12438"
1249,"7218"
1250,"3679"
1251,"5684"
1252,"609"
1253,"1120"
1254,"1120"
1255,"1120"
1256,"516"
1257,"80"
1258,"80"
1259,"3514"
1260,"3514"
1261,"96"
1262,"567"
1263,"9082"
1264,"4341"
1265,"8858"
1266,"1485"
1267,"1485"
1268,"218"
1269,"9723"
1270,"96"
1271,"2"
1272,"1518"
1273,"15"
1274,"5189"
1275,"454"
1276,"1507"
1277,"1507"
1278,"10376"
1279,"2559"
1280,"8644"
1281,"7669"
1282,"1357"
1283,"3103"
1284,"3103"
1285,"3103"
1286,"1372"
1287,"8018"
1288,"833"
1289,"833"
1290,"833"
1291,"3122"
1292,"1422"
1293,"1337"
1294,"4246"
1295,"6400"
1296,"3777"
1297,"3777"
1298,"3777"
1299,"3777"
1300,"5166"
1301,"5166"
1302,"5166"
1303,"295"
1304,"3163"
1305,"3163"
1306,"514"
1307,"429"
1308,"1003"
1309,"2449"
1310,"9411"
1311,"388"
1312,"197"
1313,"166"
1314,"166"
1315,"10040"
1316,"1507"
1317,"1507"
1318,"1507"
1319,"12091"
1320,"9529"
1321,"9529"
1322,"9529"
1323,"3558"
1324,"469"
1325,"11648"
1326,"11208"
1327,"11208"
1328,"11208"
1329,"9566"
1330,"9566"
1331,"9566"
1332,"9566"
1333,"9566"
1334,"9566"
1335,"9566"
1336,"9566"
1337,"9566"
1338,"9566"
1339,"9566"
1340,"9566"
1341,"9566"
1342,"9566"
1343,"9566"
1344,"9566"
1345,"9566"
1346,"9566"
1347,"1389"
1348,"1389"
1349,"1389"
1350,"29"
1351,"968"
1352,"7236"
1353,"2458"
1354,"794"
1355,"12122"
1356,"5344"
1357,"10920"
1358,"3222"
1359,"5785"
1360,"9058"
1361,"6431"
1362,"11847"
1363,"376"
1364,"6293"
1365,"6985"
1366,"2219"
1367,"23"
1368,"23"
1369,"6928"
1370,"5821"
1371,"7356"
1372,"7356"
1373,"6856"
1374,"10338"
1375,"5113"
1376,"5113"
1377,"5113"
1378,"5113"
1379,"5113"
1380,"5113"
1381,"5113"
1382,"166"
1383,"166"
1384,"9341"
1385,"9341"
1386,"9341"
1387,"93"
1388,"93"
1389,"93"
1390,"93"
1391,"1589"
1392,"7994"
1393,"10439"
1394,"1577"
1395,"2646"
1396,"1982"
1397,"4492"
1398,"5104"
1399,"5104"
1400,"1981"
1401,"1341"
1402,"1341"
1403,"168"
1404,"171"
1405,"171"
1406,"1253"
1407,"7908"
1408,"7908"
1409,"7908"
1410,"7908"
1411,"7908"
1412,"163"
1413,"163"
1414,"6687"
1415,"4919"
1416,"71"
1417,"71"
1418,"71"
1419,"71"
1420,"3899"
1421,"6569"
1422,"3379"
1423,"3379"
1424,"1092"
1425,"1092"
1426,"8615"
1427,"8615"
1428,"8615"
1429,"8615"
1430,"8615"
1431,"8615"
1432,"8615"
1433,"8615"
1434,"2480"
1435,"2978"
1436,"9748"
1437,"12147"
1438,"1066"
1439,"1693"
1440,"3596"
1441,"1743"
1442,"4554"
1443,"10579"
1444,"10579"
1445,"10579"
1446,"10579"
1447,"5113"
1448,"5113"
1449,"5113"
1450,"5113"
1451,"5113"
1452,"99"
1453,"1102"
1454,"65"
1455,"9398"
1456,"4147"
1457,"4147"
1458,"6"
1459,"5372"
1460,"1087"
1461,"64"
1462,"11887"
1463,"1309"
1464,"438"
1465,"439"
1466,"4222"
1467,"376"
1468,"1672"
1469,"1672"
1470,"1182"
1471,"2622"
1472,"2799"
1473,"166"
1474,"8249"
1475,"3849"
1476,"3849"
1477,"3849"
1478,"11484"
1479,"1098"
